ID;AUTORIA;"ORIGEM
(opcional)";CONSULTA PORTAL DA TRANSPARÊNCIA;"CATEGORIA
(opcional)";PONTOS DE ATENÇÃO;SUGESTÕES/BOAS PRÁTICAS;OBSERVAÇÕES;"IMPACTO NO USUÁRIO
(1- Baixo; 2- Médio; 3- Alto)";VIABILIDADE (sim/não);"ESFORÇO (1-Baixo; 2-Médio; 3- Alto)";PRIORIDADE (baixa/alta)
1;LAB.MG;Fale Conosco;RECEITA;INCLUSÃO DE INFORMAÇÕES;"Usuário não encontrou o descritivo dos gastos feitos com a ""Taxa de Incêndio"". Encontrou informação da receita arrecadada da taxa de incêndio somente até 2006.";Facilitar o acesso à pesquisa avançada ou disponibilizar informações que evideciem para o usuário onde esses dados ficam disponibilizados no site;"Os gastos com taxa de incêndio podem ser encontrados na consulta avançada da despesa e receita por meio da Fonte de Recurso

";baixo;-;-;baixa
2;LAB.MG;FALE CONOSCO;DÍVIDA;USABILIDADE;Usuário não conseguiu fazer o download de nenhuma das planilhas da Gestão da dívida;"Verificar se é possível inserir informação que para ter acesso as planilhas da gestão da dívida por meio do Portal de Transparência o usuário precisa realizar a cópia individualmente das telas. 
Dados são disponibilizados pela SEF";"Para ter acesso as planilhas da gestão da dívida por meio do Portal de Transparência é preciso realizar a cópia individualmente das telas. 
Caso deseje ter acesso aos arquivos em outros formatos é preciso que seja feita uma solicitação através do Serviço eletrônico de Informação ao Cidadão – e-SIC ou por meio do telefone 155, uma vez que esses arquivos são de responsabilidade da Secretaria de Estado da Fazenda- SEF.
";médio;não;-;-
3;LAB.MG;Fale Conosco;FAQ;INCLUSÃO DE INFORMAÇÕES;Usuário não identificou onde ficava estipulado no Portal da Transparência os gastos do Governo em relação a MGS ( usuário copiou o contrato no site, porém não ví nada em questão de atuação e funcionários dentro do interior de Minas).;"Criar uma seção dentro de ""Informaçõe Gerais"" com o link para as empresas Estatais dependentes e não dependentes de forma que usuário tenha acesso fácil ao dados que não constam no Portal.
Além disso acrescentar no FAQ de onde são encontrados dados das empresas públicas. Ex.FAQ http://www.transparencia.mg.gov.br/perguntas-frequentes#onde-se-encontram-informa%C3%A7%C3%B5es-sobre-os-recursos-empregados-pelo-poder-legislativo-poder-judici%C3%A1rio-e-minist%C3%A9rio-p%C3%BAblico-de-minas-gerais";"Com relação ao que o Estado gasta com o fornecedor de serviços MGS, é possível saber em: Despesas > Despesas > Consulta por favorecido. 
Com relação às despesas da MGS, incluindo folha de pessoal, esses dados não se encontram no Portal porque trata-se de uma empresa pública que não executa sua despesa no Sistema de Administração Financeira de Minas Gerais (SIAFI - MG) que fornece os dados que alimentam o Portal. 
Silviana: Acrescentar a informação como conteúdo estático";médio;sim;médio;BAIXA
4;LAB.MG;Fale Conosco;GERAL;INCLUSÃO DE INFORMAÇÕES;"Usuário não encontrou no Portal da Transparência ou Siafi os ""repasses totais"" do Estado de Minas Gerais para os Municípios, entre impostos, programas, transferências de recursos, convênios .";;A informação deve ser localizada separadamento;alto;não;-;-
5;LAB.MG;Fale Conosco;???;INCLUSÃO DE INFORMAÇÕES;Usuário não encontrou nas Demonstrações Contábeis de 2015, os valores do ativo financeiro e passivo financeiro, ativo e passivo patrimonial e saldo patrimonial. No Balanço de 2015, estes dados não foram sintetizados no sítio do Portal de Transparência de MG, nem tampouco nas informações para a Secretaria do Tesouro Nacional.;"Dúvida: se a pessoa joga isso na busca ela consegue encontrar essa informaçõa?
Essas informações devem ser solicitadas à Secretária de Estado da Fazenda. Sugiro que seja feita uma solicitação através do Serviço eletrônico de Informação ao Cidadão – e-SIC, por meio do endereço eletrônico http://www.transparencia.mg.gov.br/acessoainformacao, ou por meio do telefone 155 (ligação gratuita), uma vez que esses arquivos são de responsabilidade da Secretaria de Estado da Fazenda- SEF.";Usuário não identificou que essa informação não estava no Portal;;;;
6;LAB.MG;Fale Conosco;DESPESA;CONCEITO;"Usuário não identificou onde era possível encontrar o descritivo dos gastos feitos com a ""Taxa de Incêndio""de vários anos atrás";Verificar como é possível deixar essa informação mais clara no site;;baixo;-;;baixa
7;LAB.MG;ANÁLISE EXPLORATÓRIA (menu superior);PÁGINA INICIAL;LAYOUT;Menu superior é estático e não permite que o usuário  veja todas as opções disponíveis;Verificar a possibilidade de criar um menu no formato drop down;"ver modelo Portal MG. Analisar possibilidade de alterar o comportamento do menu (forma como abre) (ex.: mouse hover) - Colocar mouse hover no menu para abrir as opções disponíveis
";médio;sim;alto;alta
8;LAB.MG;Análise exploratória (menu superior);MENU SUPERIOR;ORGANIZAR DADOS;Menu superior: dentro da opção “Informações gerais” tem informações que talvez poderiam ser reclassificadas em outro menu;Organizar as informações em menu sanfona para padronizar com outras abas do menu e reorganizar as informações.;casa com id23;baixo;sim;baixo;baixa
9;LAB.MG;Análise exploratória (menu superior);FAQ;ORGANIZAR DADOS;"Dentro da opção de “perguntas frequentes” não existe uma subdivisão por assunto, o que causou dificuldade para encontrar os temas a serem pesquisados
";" Inserir subdivisão por assuntos ou inserir dentro de cada menu de acesso rápido as opções de perguntas relacionadas ao tema ( ex: inserir dúvidas relacionadas aos municípios dentro do menu de acesso rápido ""Municípios"")
";melhorar o layout do site, importante, mas não trará melhoria significativa nas consultas e nas buscas;baixo;sim;baixo;baixa
10;LAB.MG;"Análise exploratória
(menu superior)";MANUAL DO USUÁRIO;ORGANIZAR DADOS;Manual de acesso ao portal poderia estar em outro lugar mais acessível para o usuário;"O Manual pode ser dividido por temáticas em cada uma das telas, pensando que dificilmente alguém vai abrir o manual para pesquisar inteiro antes de fazer uma pesquisa rápida. Podem ser inseridas pequenas ajudas em cada uma das telas a que o manual se refere.
";Tudo que auxiliará o usuário a realizar consultas de maneira mais fácil considero importante;alto;sim;médio;alta
